sales_id,manufacturer_id,category_id,vehicle_class,sales_year,sales_count,created_at
50011,1,2,Three Wheeler,2015,0,21-01-2026 21:02
50021,2,2,Three Wheeler,2015,0,21-01-2026 21:02
50041,4,2,Three Wheeler,2015,0,21-01-2026 21:02
50051,5,2,Three Wheeler,2015,0,21-01-2026 21:02
50071,7,2,Three Wheeler,2015,0,21-01-2026 21:02
50081,8,2,Three Wheeler,2015,0,21-01-2026 21:02
50091,9,2,Three Wheeler,2015,0,21-01-2026 21:02
50101,10,2,Three Wheeler,2015,0,21-01-2026 21:02
50111,11,2,Three Wheeler,2015,0,21-01-2026 21:02
50131,13,2,Three Wheeler,2015,0,21-01-2026 21:02
50141,14,2,Three Wheeler,2015,0,21-01-2026 21:02
50151,15,2,Three Wheeler,2015,0,21-01-2026 21:02
50161,16,2,Three Wheeler,2015,0,21-01-2026 21:02
50171,17,2,Three Wheeler,2015,0,21-01-2026 21:02
50191,19,2,Three Wheeler,2015,0,21-01-2026 21:02
50211,21,2,Three Wheeler,2015,0,21-01-2026 21:02
50231,23,2,Three Wheeler,2015,0,21-01-2026 21:02
50251,25,2,Three Wheeler,2015,0,21-01-2026 21:02
50271,27,2,Three Wheeler,2015,0,21-01-2026 21:02
50281,28,2,Three Wheeler,2015,0,21-01-2026 21:02
50291,29,2,Three Wheeler,2015,0,21-01-2026 21:02
50301,30,2,Three Wheeler,2015,0,21-01-2026 21:02
50311,31,2,Three Wheeler,2015,0,21-01-2026 21:02
50341,34,2,Three Wheeler,2015,0,21-01-2026 21:02
50361,36,2,Three Wheeler,2015,0,21-01-2026 21:02
50381,38,2,Three Wheeler,2015,0,21-01-2026 21:02
50401,40,2,Three Wheeler,2015,0,21-01-2026 21:02
50411,41,2,Three Wheeler,2015,0,21-01-2026 21:02
50421,42,2,Three Wheeler,2015,0,21-01-2026 21:02
50431,43,2,Three Wheeler,2015,0,21-01-2026 21:02
50451,45,2,Three Wheeler,2015,0,21-01-2026 21:02
50481,48,2,Three Wheeler,2015,0,21-01-2026 21:02
50491,49,2,Three Wheeler,2015,0,21-01-2026 21:02
50501,50,2,Three Wheeler,2015,0,21-01-2026 21:02
50531,53,2,Three Wheeler,2015,0,21-01-2026 21:02
50541,54,2,Three Wheeler,2015,0,21-01-2026 21:02
50561,56,2,Three Wheeler,2015,0,21-01-2026 21:02
50571,57,2,Three Wheeler,2015,0,21-01-2026 21:02
50581,58,2,Three Wheeler,2015,0,21-01-2026 21:02
50601,60,2,Three Wheeler,2015,0,21-01-2026 21:02
50611,61,2,Three Wheeler,2015,0,21-01-2026 21:02
50631,1,2,Three Wheeler,2015,0,21-01-2026 21:03
50651,3,2,Three Wheeler,2015,0,21-01-2026 21:03
50681,6,2,Three Wheeler,2015,0,21-01-2026 21:03
50691,7,2,Three Wheeler,2015,0,21-01-2026 21:03
50701,1,2,Three Wheeler,2015,0,21-01-2026 21:03
50711,2,2,Three Wheeler,2015,0,21-01-2026 21:03
50721,3,2,Three Wheeler,2015,0,21-01-2026 21:03
50731,4,2,Three Wheeler,2015,0,21-01-2026 21:03
50741,5,2,Three Wheeler,2015,0,21-01-2026 21:03
50791,10,2,Three Wheeler,2015,0,21-01-2026 21:03
50801,11,2,Three Wheeler,2015,0,21-01-2026 21:03
50871,18,2,Three Wheeler,2015,0,21-01-2026 21:03
50881,19,2,Three Wheeler,2015,0,21-01-2026 21:03
50891,20,2,Three Wheeler,2015,0,21-01-2026 21:03
50911,22,2,Three Wheeler,2015,0,21-01-2026 21:03
50921,23,2,Three Wheeler,2015,0,21-01-2026 21:03
50941,25,2,Three Wheeler,2015,0,21-01-2026 21:03
50951,26,2,Three Wheeler,2015,0,21-01-2026 21:03
50961,1,2,Three Wheeler,2015,0,21-01-2026 21:03
50971,2,2,Three Wheeler,2015,0,21-01-2026 21:03
50981,3,2,Three Wheeler,2015,0,21-01-2026 21:03
51011,6,2,Three Wheeler,2015,0,21-01-2026 21:03
51021,7,2,Three Wheeler,2015,0,21-01-2026 21:03
51041,9,2,Three Wheeler,2015,0,21-01-2026 21:03
51051,10,2,Three Wheeler,2015,0,21-01-2026 21:03
51061,11,2,Three Wheeler,2015,0,21-01-2026 21:03
51071,12,2,Three Wheeler,2015,0,21-01-2026 21:03
51081,13,2,Three Wheeler,2015,0,21-01-2026 21:03
51101,15,2,Three Wheeler,2015,0,21-01-2026 21:03
51111,16,2,Three Wheeler,2015,0,21-01-2026 21:03
51121,17,2,Three Wheeler,2015,0,21-01-2026 21:03
51131,18,2,Three Wheeler,2015,0,21-01-2026 21:03
